date,trade_number_in_day,profit,points,direction,entry_hour,entry_weekday,entry_adx,entry_slope,entry_ma_distance,entry_vol_exp,entry_bb_width
2022-03-24,1,7365.0,1473.0,1,10,3,81.66067229083798,-17.23509651076165,,,
2022-03-24,2,-35.0,-7.0,-1,15,3,21.27384564329139,-20.88325712029473,163.99078104257933,1.239193083573487,0.0018767954648718753
2022-03-25,1,-1335.0,-267.0,1,10,4,27.747185946068047,-46.588149757124484,131.68593236189918,1.6159897937486711,0.002559471219324642
2022-03-25,2,-480.0,-96.0,-1,11,4,15.347899185950064,-30.811926231632242,149.89515221622423,0.7744545585897992,0.002523532680502026
2022-03-28,1,-820.0,-164.0,-1,11,0,33.2320903557262,-111.58891880858573,768.0252771466039,0.968063872255489,0.0084584024235728
2022-03-28,2,-670.0,-134.0,1,13,0,29.49161369919715,6.628467880131211,31.29565228903084,1.3670886075949367,0.0018976564513219635
2022-03-29,1,-1935.0,-387.0,1,10,1,41.062215951051996,28.15014387035626,758.4470435662952,0.8345703447138381,0.011889058059296359
2022-03-29,2,-260.0,-52.0,-1,11,1,20.453853317057412,60.23054190483526,245.4459771431866,0.6452413450800347,0.005047313286112565
2022-03-30,1,-2050.0,-410.0,-1,14,2,20.586882117317153,-44.49568648749846,140.92201595465303,1.5222405271828665,0.001555373453346145
2022-03-30,2,-895.0,-179.0,1,16,2,25.60980969701884,-33.821518203185406,120.47654900333146,0.6040117196303809,0.002820861490472068
2022-03-31,1,-3575.0,-715.0,1,10,3,20.78976840214991,43.93842609433341,216.81772419417393,0.9382532913035417,0.0024302024153708738
2022-03-31,2,-115.0,-23.0,-1,12,3,12.134366951631247,-18.51535206020344,182.4624012830027,0.5515538176579543,0.002978038076499287
2022-04-01,1,1375.0,275.0,1,10,4,33.93207291168317,36.300492419395596,446.13136365581886,1.1679111621673368,0.007692303739315678
2022-04-01,2,485.0,97.0,-1,13,4,17.61551309392629,-6.19830902791,156.1115257931233,0.8138475554205891,0.0018944140383359762
2022-04-04,1,2755.0,551.0,-1,10,0,20.852587146651963,-5.033329307392705,138.48573038936593,0.8109339407744874,0.002929501496282566
2022-04-04,2,335.0,67.0,1,14,0,8.544190039848118,-16.97609776991885,54.42820060352096,0.7804878048780488,0.0015822149146535723
2022-04-05,1,-445.0,-89.0,-1,10,1,29.96223832600995,100.15659840492299,88.57877457197173,1.9210526315789473,0.004992642540235852
2022-04-05,2,-8630.0,-1726.0,1,10,1,19.44792664456295,5.622739831102081,343.46142162792967,0.8697146785837058,0.004849154105304748
2022-04-05,3,855.0,171.0,-1,12,1,27.860355520402724,-77.89756005856907,618.6478550038009,0.9839167455061495,0.008235312212313769
2022-04-06,1,2455.0,491.0,-1,10,2,35.91995659271724,32.84010361437686,207.59850969552645,1.0162293341422721,0.005406456771653169
2022-04-06,2,520.0,104.0,1,12,2,18.6249319767995,64.65966972211027,99.69465444498928,1.6233666410453498,0.002438209186571025
2022-04-07,0,4205.0,841.0,1,14,3,22.48475344391179,18.269680016179336,213.06413707821048,0.5922444183313749,0.002603943268613292
2022-04-11,1,-1300.0,-260.0,-1,10,0,47.85840335281846,-117.23257177736377,715.2601890809892,1.3292061179898031,0.008936425158210665
2022-04-11,2,1415.0,283.0,1,11,0,25.114137739904248,-80.62547221424757,23.120936476130737,1.0867733782645324,0.002571469593199112
2022-04-12,1,-3755.0,-751.0,1,10,1,42.365603384057835,85.66269167844439,830.8254237624933,0.7108785967071858,0.009657437702001207
2022-04-12,2,780.0,156.0,-1,11,1,18.89087325643472,4.370737625402398,257.4829505014932,0.4547081990691013,0.0036317101935810303
2022-04-13,1,-2885.0,-577.0,1,10,2,32.81667284775866,22.55218847852666,234.50553180027055,1.089223638470452,0.0034702373633655626
2022-04-13,2,-1130.0,-226.0,-1,11,2,17.412735165977058,-28.816765092662536,177.1615110578132,0.4690831556503198,0.002446436842725613
2022-04-14,1,2490.0,498.0,-1,10,3,20.917816563828453,-80.02348170545883,328.85845413050265,1.5872340425531914,0.004082631073923036
2022-04-14,2,40.0,8.0,1,15,3,20.533520347591075,5.783194551971974,153.58150750643108,1.431725007883948,0.002269098658209195
2022-04-18,1,-1795.0,-359.0,-1,11,0,20.48115504686988,-16.566211467434186,342.0684874636063,1.1866160745084513,0.004294729956913189
2022-04-18,2,35.0,7.0,1,12,0,9.788431512249034,-4.84062847509631,72.12441866233712,0.7526881720430108,0.0027339196257220723
2022-04-19,1,550.0,110.0,-1,10,1,34.542237296532626,-76.82924445398385,372.4449269459001,1.6449086161879896,0.005002996241023428
2022-04-19,2,255.0,51.0,1,11,1,24.679294768423148,-76.76112456497503,59.28259349806467,1.7175817133091218,0.0030096970757054415
2022-04-20,1,2635.0,527.0,-1,10,2,24.607691283789013,-95.15322941108025,187.3870823555917,2.5396825396825395,0.002439653241188947
